customer_id,customer_type,product,revenue,churn
C0001,Enterprise,Product_A,120000,0
C0002,Enterprise,Product_B,125000,0
C0003,Enterprise,Product_C,130000,0
C0004,Enterprise,Product_A,135000,0
C0005,Enterprise,Product_B,140000,0
C0006,Enterprise,Product_C,145000,0
C0007,Enterprise,Product_A,150000,0
C0008,Enterprise,Product_B,155000,0
C0009,Enterprise,Product_C,160000,0
C0010,Enterprise,Product_A,165000,0
C0011,Enterprise,Product_B,170000,0
C0012,Enterprise,Product_C,175000,0
C0013,Enterprise,Product_A,180000,0
C0014,Enterprise,Product_B,185000,0
C0015,Enterprise,Product_C,190000,0
C0016,Enterprise,Product_A,195000,0
C0017,Enterprise,Product_B,200000,0
C0018,Enterprise,Product_C,205000,0
C0019,Enterprise,Product_A,210000,0
C0020,Enterprise,Product_B,215000,0
C0021,Enterprise,Product_C,220000,0
C0022,Enterprise,Product_A,225000,0
C0023,Enterprise,Product_B,230000,0
C0024,Enterprise,Product_C,235000,0
C0025,Enterprise,Product_A,240000,0
C0026,Enterprise,Product_B,245000,0
C0027,Enterprise,Product_C,250000,0
C0028,Enterprise,Product_A,255000,0
C0029,Enterprise,Product_B,260000,0
C0030,Enterprise,Product_C,265000,0
C0031,Enterprise,Product_A,270000,0
C0032,Enterprise,Product_B,275000,0
C0033,Enterprise,Product_C,280000,0
C0034,Enterprise,Product_A,285000,0
C0035,Enterprise,Product_B,290000,0
C0036,Enterprise,Product_C,295000,0
C0037,Enterprise,Product_A,300000,0
C0038,Enterprise,Product_B,305000,0
C0039,Enterprise,Product_C,310000,0
C0040,Enterprise,Product_A,315000,0
C0041,Enterprise,Product_B,320000,0
C0042,Enterprise,Product_C,325000,0
C0043,Enterprise,Product_A,330000,0
C0044,Enterprise,Product_B,335000,0
C0045,Enterprise,Product_C,340000,0
C0046,Enterprise,Product_A,345000,0
C0047,Enterprise,Product_B,350000,0
C0048,Enterprise,Product_C,355000,0
C0049,Enterprise,Product_A,360000,1
C0050,Enterprise,Product_B,365000,1
C0051,SMB,Product_A,30000,0
C0052,SMB,Product_B,32000,0
C0053,SMB,Product_C,34000,0
C0054,SMB,Product_A,36000,0
C0055,SMB,Product_B,38000,0
C0056,SMB,Product_C,40000,0
C0057,SMB,Product_A,42000,0
C0058,SMB,Product_B,44000,0
C0059,SMB,Product_C,46000,0
C0060,SMB,Product_A,48000,0
C0061,SMB,Product_B,50000,0
C0062,SMB,Product_C,52000,0
C0063,SMB,Product_A,54000,0
C0064,SMB,Product_B,56000,0
C0065,SMB,Product_C,58000,0
C0066,SMB,Product_A,60000,0
C0067,SMB,Product_B,62000,0
C0068,SMB,Product_C,64000,0
C0069,SMB,Product_A,66000,0
C0070,SMB,Product_B,68000,0
C0071,SMB,Product_C,70000,0
C0072,SMB,Product_A,72000,0
C0073,SMB,Product_B,74000,0
C0074,SMB,Product_C,76000,0
C0075,SMB,Product_A,78000,0
C0076,SMB,Product_B,80000,0
C0077,SMB,Product_C,82000,0
C0078,SMB,Product_A,84000,0
C0079,SMB,Product_B,86000,0
C0080,SMB,Product_C,88000,0
C0081,SMB,Product_A,90000,0
C0082,SMB,Product_B,92000,0
C0083,SMB,Product_C,94000,0
C0084,SMB,Product_A,96000,0
C0085,SMB,Product_B,98000,0
C0086,SMB,Product_C,100000,0
C0087,SMB,Product_A,102000,0
C0088,SMB,Product_B,104000,0
C0089,SMB,Product_C,106000,0
C0090,SMB,Product_A,108000,0
C0091,SMB,Product_B,110000,0
C0092,SMB,Product_C,112000,1
C0093,SMB,Product_A,114000,1
C0094,SMB,Product_B,116000,1
C0095,SMB,Product_C,118000,1
C0096,SMB,Product_A,120000,1
C0097,SMB,Product_B,122000,1
C0098,SMB,Product_C,124000,1
C0099,SMB,Product_A,126000,1
C0100,SMB,Product_B,128000,1
C0101,Startup,Product_A,5000,0
C0102,Startup,Product_B,5500,0
C0103,Startup,Product_C,6000,0
C0104,Startup,Product_A,6500,0
C0105,Startup,Product_B,7000,0
C0106,Startup,Product_C,7500,0
C0107,Startup,Product_A,8000,0
C0108,Startup,Product_B,8500,0
C0109,Startup,Product_C,9000,0
C0110,Startup,Product_A,9500,0
C0111,Startup,Product_B,10000,0
C0112,Startup,Product_C,10500,0
C0113,Startup,Product_A,11000,0
C0114,Startup,Product_B,11500,0
C0115,Startup,Product_C,12000,0
C0116,Startup,Product_A,12500,0
C0117,Startup,Product_B,13000,0
C0118,Startup,Product_C,13500,0
C0119,Startup,Product_A,14000,0
C0120,Startup,Product_B,14500,0
C0121,Startup,Product_C,15000,0
C0122,Startup,Product_A,15500,0
C0123,Startup,Product_B,16000,0
C0124,Startup,Product_C,16500,0
C0125,Startup,Product_A,17000,0
C0126,Startup,Product_B,17500,0
C0127,Startup,Product_C,18000,0
C0128,Startup,Product_A,18500,0
C0129,Startup,Product_B,19000,0
C0130,Startup,Product_C,19500,0
C0131,Startup,Product_A,20000,0
C0132,Startup,Product_B,20500,0
C0133,Startup,Product_C,21000,0
C0134,Startup,Product_A,21500,0
C0135,Startup,Product_B,22000,0
C0136,Startup,Product_C,22500,0
C0137,Startup,Product_A,23000,0
C0138,Startup,Product_B,23500,0
C0139,Startup,Product_C,24000,0
