customer_id,engagement,transactions_per_month,support_tickets,revenue,churn
C0001,1,3,1,1000.0,0
C0002,2,5,2,2000.0,0
C0003,3,7,3,3000.0,0
C0004,4,9,4,4000.0,0
C0005,5,11,5,5000.0,0
C0006,6,13,6,6000.0,0
C0007,7,15,7,7000.0,0
C0008,8,17,8,8000.0,1
C0009,9,19,9,9000.0,1
C0010,10,21,10,10000.0,1
C0011,11,23,11,11000.0,1
C0012,12,25,12,12000.0,1
C0013,13,27,13,13000.0,1
C0014,14,29,14,14000.0,1
C0015,15,31,15,15000.0,1
C0016,1,4,1,1010.0,0
C0017,2,6,2,2020.0,0
C0018,3,8,3,3030.0,0
C0019,4,10,4,4040.0,0
C0020,5,12,5,5050.0,0
C0021,6,14,6,6060.0,0
C0022,7,16,7,7070.0,0
C0023,8,18,8,8080.0,1
C0024,9,20,9,9090.0,1
C0025,10,22,10,10100.0,1
C0026,11,24,11,11110.0,1
C0027,12,26,12,12120.0,1
C0028,13,28,13,13130.0,1
C0029,14,30,14,14140.0,1
C0030,15,32,15,15150.0,1
C0031,1,5,1,1020.0,0
C0032,2,7,2,2040.0,0
C0033,3,9,3,3060.0,0
C0034,4,11,4,4080.0,0
C0035,5,13,5,5100.0,0
C0036,6,15,6,6120.0,0
C0037,7,17,7,7140.0,0
C0038,8,19,8,8160.0,1
C0039,9,21,9,9180.0,1
C0040,10,23,10,10200.0,1
C0041,11,25,11,11220.0,1
C0042,12,27,12,12240.0,1
C0043,13,29,13,13260.0,1
C0044,14,31,14,14280.0,1
C0045,15,33,15,15300.0,1
C0046,1,6,1,1030.0,0
C0047,2,8,2,2060.0,0
C0048,3,10,3,3090.0,0
C0049,4,12,4,4120.0,0
C0050,5,14,5,5150.0,0
C0051,6,16,6,6180.0,0
C0052,7,18,7,7210.0,0
C0053,8,20,8,8240.0,1
C0054,9,22,9,9270.0,1
C0055,10,24,10,10300.0,1
C0056,11,26,11,11330.0,1
C0057,12,28,12,12360.0,1
C0058,13,30,13,13390.0,1
C0059,14,32,14,14420.0,1
C0060,15,34,15,15450.0,1
C0061,1,7,1,1040.0,0
C0062,2,9,2,2080.0,0
C0063,3,11,3,3120.0,0
C0064,4,13,4,4160.0,0
C0065,5,15,5,5200.0,0
C0066,6,17,6,6240.0,0
C0067,7,19,7,7280.0,0
C0068,8,21,8,8320.0,1
C0069,9,23,9,9360.0,1
C0070,10,25,10,10400.0,1
C0071,11,27,11,11440.0,1
C0072,12,29,12,12480.0,1
C0073,13,31,13,13520.0,1
C0074,14,33,14,14560.0,1
C0075,15,35,15,15600.0,1
C0076,1,8,1,1050.0,0
C0077,2,10,2,2100.0,0
C0078,3,12,3,3150.0,0
C0079,4,14,4,4200.0,0
C0080,5,16,5,5250.0,0
C0081,6,18,6,6300.0,0
C0082,7,20,7,7350.0,0
C0083,8,22,8,8400.0,1
C0084,9,24,9,9450.0,1
C0085,10,26,10,10500.0,1
C0086,11,28,11,11550.0,1
C0087,12,30,12,12600.0,1
C0088,13,32,13,13650.0,1
C0089,14,34,14,14700.0,1
C0090,15,36,15,15750.0,1
C0091,1,9,1,1060.0,0
C0092,2,11,2,2120.0,0
C0093,3,13,3,3180.0,0
C0094,4,15,4,4240.0,0
C0095,5,17,5,5300.0,0
C0096,6,19,6,6360.0,0
C0097,7,21,7,7420.0,0
C0098,8,23,8,8480.0,1
C0099,9,25,9,9540.0,1
C0100,10,27,10,10600.0,1
C0101,11,29,11,11660.0,1
C0102,12,31,12,12720.0,1
C0103,13,33,13,13780.0,1
C0104,14,35,14,14840.0,1
C0105,15,37,15,15900.0,1
C0106,1,10,1,1070.0,0
C0107,2,12,2,2140.0,0
C0108,3,14,3,3210.0,0
C0109,4,16,4,4280.0,0
C0110,5,18,5,5350.0,0
C0111,6,20,6,6420.0,0
C0112,7,22,7,7490.0,0
C0113,8,24,8,8560.0,1
C0114,9,26,9,9630.0,1
C0115,10,28,10,10700.0,1
C0116,11,30,11,11770.0,1
C0117,12,32,12,12840.0,1
C0118,13,34,13,13910.0,1
C0119,14,36,14,14980.0,1
C0120,15,38,15,16050.000000000002,1
C0121,1,11,1,1080.0,0
C0122,2,13,2,2160.0,0
C0123,3,15,3,3240.0,0
C0124,4,17,4,4320.0,0
C0125,5,19,5,5400.0,0
C0126,6,21,6,6480.0,0
C0127,7,23,7,7560.000000000001,0
C0128,8,25,8,8640.0,1
C0129,9,27,9,9720.0,1
C0130,10,29,10,10800.0,1
C0131,11,31,11,11880.0,1
C0132,12,33,12,12960.0,1
C0133,13,35,13,14040.000000000002,1
C0134,14,37,14,15120.000000000002,1
C0135,15,39,15,16200.000000000002,1
C0136,1,12,1,1090.0,0
C0137,2,14,2,2180.0,0
C0138,3,16,3,3270.0000000000005,0
C0139,4,18,4,4360.0,0
C0140,5,20,5,5450.0,0
C0141,6,22,6,6540.000000000001,0
C0142,7,24,7,7630.000000000001,0
C0143,8,26,8,8720.0,1
C0144,9,28,9,9810.0,1
C0145,10,30,10,10900.0,1
C0146,11,32,11,11990.0,1
C0147,12,34,12,13080.000000000002,1
C0148,13,36,13,14170.000000000002,1
C0149,14,38,14,15260.000000000002,1
C0150,15,40,15,16350.000000000002,1
