candidate_id,offer_date,salary,accepted
C0001,2025-01-26,70000,True
C0002,2025-01-29,74500,True
C0003,2025-02-01,79000,True
C0004,2025-02-04,83500,True
C0005,2025-02-07,88000,True
C0006,2025-02-05,92500,False
C0007,2025-02-08,97000,False
C0011,2025-02-16,70000,True
C0012,2025-02-19,74500,True
C0013,2025-02-22,79000,True
C0014,2025-02-25,83500,True
C0015,2025-02-28,88000,True
C0016,2025-02-26,92500,False
C0017,2025-03-01,97000,False
C0021,2025-03-09,70000,True
C0022,2025-03-12,74500,True
C0023,2025-03-15,79000,True
C0024,2025-03-18,83500,True
C0025,2025-03-21,88000,True
C0026,2025-03-19,92500,False
C0027,2025-03-22,97000,False
C0031,2025-03-30,70000,True
C0032,2025-04-02,74500,True
C0033,2025-04-05,79000,True
C0034,2025-04-08,83500,True
C0035,2025-04-11,88000,True
C0036,2025-04-09,92500,False
C0037,2025-04-12,97000,False
C0041,2025-04-20,70000,True
C0042,2025-04-23,74500,True
C0043,2025-04-26,79000,True
C0044,2025-04-29,83500,True
C0045,2025-05-02,88000,True
C0046,2025-04-30,92500,False
C0047,2025-05-03,97000,False
C0051,2025-05-11,70000,True
C0052,2025-05-14,74500,True
C0053,2025-05-17,79000,True
C0054,2025-05-20,83500,True
C0055,2025-05-23,88000,True
C0056,2025-05-21,92500,False
C0057,2025-05-24,97000,False
C0061,2025-06-01,70000,True
C0062,2025-06-04,74500,True
C0063,2025-06-07,79000,True
C0064,2025-06-10,83500,True
C0065,2025-06-13,88000,True
C0066,2025-06-11,92500,False
C0067,2025-06-14,97000,False
C0071,2025-06-22,70000,True
C0072,2025-06-25,74500,True
C0073,2025-06-28,79000,True
C0074,2025-07-01,83500,True
C0075,2025-07-04,88000,True
C0076,2025-07-02,92500,False
C0077,2025-07-05,97000,False
C0081,2025-07-13,70000,True
C0082,2025-07-16,74500,True
C0083,2025-07-19,79000,True
C0084,2025-07-22,83500,True
C0085,2025-07-25,88000,True
C0086,2025-07-23,92500,False
C0087,2025-07-26,97000,False
C0091,2025-08-03,70000,True
C0092,2025-08-06,74500,True
C0093,2025-08-09,79000,True
C0094,2025-08-12,83500,True
C0095,2025-08-15,88000,True
C0096,2025-08-13,92500,False
C0097,2025-08-16,97000,False
