candidate_id,joining_date,document_completion,onboarding_status
C0001,2025-02-03,85,Completed
C0002,2025-02-06,86,Completed
C0003,2025-02-09,87,Completed
C0004,2025-02-12,88,Completed
C0005,2025-02-15,89,Completed
C0011,2025-02-28,95,Completed
C0012,2025-03-03,96,Completed
C0013,2025-02-28,97,Completed
C0014,2025-03-03,98,Completed
C0015,2025-03-06,99,Completed
C0021,2025-03-19,89,Completed
C0022,2025-03-22,90,Completed
C0023,2025-03-25,91,Completed
C0024,2025-03-28,92,Completed
C0025,2025-03-25,93,Completed
C0031,2025-04-07,99,Completed
C0032,2025-04-10,100,Completed
C0033,2025-04-13,85,Completed
C0034,2025-04-16,86,Completed
C0035,2025-04-19,87,Completed
C0041,2025-05-02,93,Completed
C0042,2025-05-05,94,Completed
C0043,2025-05-02,95,Completed
C0044,2025-05-05,96,Completed
C0045,2025-05-08,97,Completed
C0051,2025-05-21,87,Completed
C0052,2025-05-24,88,Completed
C0053,2025-05-27,89,Completed
C0054,2025-05-30,90,Completed
C0055,2025-05-27,91,Completed
C0061,2025-06-09,97,Completed
C0062,2025-06-12,98,Completed
C0063,2025-06-15,99,Completed
C0064,2025-06-18,100,Completed
C0065,2025-06-21,85,Completed
C0071,2025-07-04,91,Completed
C0072,2025-07-07,92,Completed
C0073,2025-07-04,93,Completed
C0074,2025-07-07,94,Completed
C0075,2025-07-10,95,Completed
C0081,2025-07-23,85,Completed
C0082,2025-07-26,86,Completed
C0083,2025-07-29,87,Completed
C0084,2025-08-01,88,Completed
C0085,2025-07-29,89,Completed
C0091,2025-08-11,95,Completed
C0092,2025-08-14,96,Completed
C0093,2025-08-17,97,Completed
C0094,2025-08-20,98,Completed
C0095,2025-08-23,99,Completed
