candidate_id,interviewer_name,round_name,score,feedback,result,interview_date
C0001,Interviewer 1,Technical Interview,65,Strong problem-solving and communication skills.,Pass,2025-01-15
C0002,Interviewer 2,Technical Interview,72,Strong problem-solving and communication skills.,Pass,2025-01-18
C0003,Interviewer 3,Technical Interview,79,Strong problem-solving and communication skills.,Pass,2025-01-21
C0004,Interviewer 4,Technical Interview,86,Strong problem-solving and communication skills.,Pass,2025-01-24
C0005,Interviewer 5,Technical Interview,93,Strong problem-solving and communication skills.,Pass,2025-01-23
C0006,Interviewer 6,Technical Interview,100,Strong problem-solving and communication skills.,Pass,2025-01-26
C0007,Interviewer 7,Technical Interview,71,Strong problem-solving and communication skills.,Pass,2025-01-29
C0008,Interviewer 8,Technical Interview,78,Strong problem-solving and communication skills.,Pass,2025-02-01
C0011,Interviewer 3,Technical Interview,99,Strong problem-solving and communication skills.,Pass,2025-02-07
C0012,Interviewer 4,Technical Interview,70,Strong problem-solving and communication skills.,Pass,2025-02-10
C0013,Interviewer 5,Technical Interview,77,Strong problem-solving and communication skills.,Pass,2025-02-09
C0014,Interviewer 6,Technical Interview,84,Strong problem-solving and communication skills.,Pass,2025-02-12
C0015,Interviewer 7,Technical Interview,91,Strong problem-solving and communication skills.,Pass,2025-02-15
C0016,Interviewer 8,Technical Interview,98,Strong problem-solving and communication skills.,Pass,2025-02-18
C0017,Interviewer 1,Technical Interview,69,Strong problem-solving and communication skills.,Pass,2025-02-17
C0018,Interviewer 2,Technical Interview,76,Strong problem-solving and communication skills.,Pass,2025-02-20
C0021,Interviewer 5,Technical Interview,97,Strong problem-solving and communication skills.,Pass,2025-02-26
C0022,Interviewer 6,Technical Interview,68,Strong problem-solving and communication skills.,Pass,2025-03-01
C0023,Interviewer 7,Technical Interview,75,Strong problem-solving and communication skills.,Pass,2025-03-04
C0024,Interviewer 8,Technical Interview,82,Strong problem-solving and communication skills.,Pass,2025-03-07
C0025,Interviewer 1,Technical Interview,89,Strong problem-solving and communication skills.,Pass,2025-03-06
C0026,Interviewer 2,Technical Interview,96,Strong problem-solving and communication skills.,Pass,2025-03-09
C0027,Interviewer 3,Technical Interview,67,Strong problem-solving and communication skills.,Pass,2025-03-12
C0028,Interviewer 4,Technical Interview,74,Strong problem-solving and communication skills.,Pass,2025-03-15
C0031,Interviewer 7,Technical Interview,95,Strong problem-solving and communication skills.,Pass,2025-03-21
C0032,Interviewer 8,Technical Interview,66,Strong problem-solving and communication skills.,Pass,2025-03-24
C0033,Interviewer 1,Technical Interview,73,Strong problem-solving and communication skills.,Pass,2025-03-23
C0034,Interviewer 2,Technical Interview,80,Strong problem-solving and communication skills.,Pass,2025-03-26
C0035,Interviewer 3,Technical Interview,87,Strong problem-solving and communication skills.,Pass,2025-03-29
C0036,Interviewer 4,Technical Interview,94,Strong problem-solving and communication skills.,Pass,2025-04-01
C0037,Interviewer 5,Technical Interview,65,Strong problem-solving and communication skills.,Pass,2025-03-31
C0038,Interviewer 6,Technical Interview,72,Strong problem-solving and communication skills.,Pass,2025-04-03
C0041,Interviewer 1,Technical Interview,93,Strong problem-solving and communication skills.,Pass,2025-04-09
C0042,Interviewer 2,Technical Interview,100,Strong problem-solving and communication skills.,Pass,2025-04-12
