customer_id,total_transactions,days_as_customer,total_spent,days_since_last_purchase,purchase_count,transactions_per_month,avg_spend_per_transaction,lifetime_value_per_month,engagement_tier,spend_quartile,recency_score,frequency_score,monetary_score,rfm_score
C001,3,45,90,40,3,2.0,30.0,60.0,low,Q1,1,1,1,3
C002,8,120,640,25,8,2.0,80.0,160.0,low,Q2,2,2,2,6
C003,15,180,1800,12,15,2.5,120.0,300.0,medium,Q3,4,4,4,12
C004,28,60,5600,5,28,14.0,200.0,2800.0,high,Q4,5,5,5,15
C005,5,75,250,60,5,2.0,50.0,100.0,low,Q1,1,1,1,3
C006,42,90,12600,3,42,14.0,300.0,4200.0,high,Q4,5,5,5,15
C007,11,240,990,18,11,1.375,90.0,123.75,low,Q2,3,3,3,9
C008,2,30,80,90,2,2.0,40.0,80.0,low,Q1,1,1,1,3
C009,20,120,3200,8,20,5.0,160.0,800.0,medium,Q3,4,4,4,12
C010,7,150,420,35,7,1.4,60.0,84.0,low,Q2,2,2,2,6
C011,35,500,8750,7,35,2.0999999999999996,250.0,525.0,medium,Q4,5,5,5,15
C012,9,90,1080,22,9,3.0,120.0,360.0,medium,Q3,3,3,3,9
